exercise_name,muscle_slug,role
Hip Thrust Machine,gluteus_medius,secondary
Lat Pulldown,latissimus_dorsi,primary
Lat Pulldown,biceps_brachii,secondary
Lat Pulldown,forearms,secondary
Lat Pulldown,rhomboids,secondary
Leg Curl,hamstrings,primary
Leg Extension,quadriceps,primary
Leg Press,quadriceps,primary
Leg Press,gluteus_maximus,secondary
Leg Press,hamstrings,secondary
Leg Press,calves,secondary
Machine Biceps Curl,biceps_brachii,primary
Machine Biceps Curl,forearms,secondary
Machine Chest Press,pectoralis_major,primary
Machine Chest Press,anterior_deltoid,secondary
Machine Chest Press,triceps_brachii,secondary
Machine Decline Chest Press,pectoralis_major,primary
Machine Decline Chest Press,triceps_brachii,secondary
Machine Decline Chest Press,anterior_deltoid,secondary
Machine Hack Squat,quadriceps,primary
Machine Hack Squat,gluteus_maximus,secondary
Machine Hack Squat,hamstrings,secondary
Machine Hack Squat,calves,secondary
Machine High Row,latissimus_dorsi,primary
Machine High Row,rhomboids,secondary
Machine High Row,trapezius,secondary
Machine High Row,biceps_brachii,secondary
Machine Incline Chest Press,pectoralis_major,primary
Machine Incline Chest Press,anterior_deltoid,secondary
Machine Incline Chest Press,triceps_brachii,secondary
Machine Lat Pulldown,latissimus_dorsi,primary
Machine Lat Pulldown,biceps_brachii,secondary
Machine Lat Pulldown,forearms,secondary
Machine Lat Pulldown,rhomboids,secondary
Machine Lateral Raise,lateral_deltoid,primary
Machine Lateral Raise,trapezius,secondary
Machine Leg Curl,hamstrings,primary
Machine Leg Extension,quadriceps,primary
Machine Leg Press,quadriceps,primary
Machine Leg Press,gluteus_maximus,secondary
Machine Leg Press,hamstrings,secondary
Machine Leg Press,calves,secondary
Machine Row,rhomboids,primary
Machine Row,latissimus_dorsi,secondary
Machine Row,trapezius,secondary
Machine Row,biceps_brachii,secondary
Machine Shoulder Press,anterior_deltoid,primary
Machine Shoulder Press,lateral_deltoid,secondary
Machine Shoulder Press,triceps_brachii,secondary
Machine Shoulder Press,trapezius,secondary
Machine Triceps Extension,triceps_brachii,primary
Oblique Machine,obliques,primary
Oblique Machine,rectus_abdominis,secondary
Pec Deck,pectoralis_major,primary
Pec Deck,pectoralis_minor,secondary
Preacher Curl Machine,biceps_brachii,primary
Preacher Curl Machine,forearms,secondary
Pullover Machine,latissimus_dorsi,primary
Pullover Machine,pectoralis_major,secondary
Pullover Machine,serratus_anterior,secondary
Pullover Machine,triceps_brachii,secondary
Reverse Pec Deck,posterior_deltoid,primary
Reverse Pec Deck,rhomboids,secondary
Reverse Pec Deck,trapezius,secondary
Seated Cable Row,latissimus_dorsi,primary
Seated Cable Row,rhomboids,secondary
Seated Cable Row,trapezius,secondary
Seated Cable Row,biceps_brachii,secondary
Seated Cable Row,forearms,secondary
Tricep Pushdown,triceps_brachii,primary
